"Duns","Lat","Lon"
168546252,42.52,-83.55
175904325,44.07,-87.72
177350279,39.70,-84.21
178080156,42.73,-83.76
183117860,39.37,-84.30
184861805,42.51,-83.76
186093329,40.66,-84.93
186617986,42.96,-86.18
187592758,42.95,-82.46
188277016,35.00,-81.99
189288616,35.29,-93.64
194296245,34.69,-79.93
194647103,43.02,-85.74
196015408,37.13,-76.50
197521354,42.46,-83.03
200142508,44.19,-77.36
200198765,43.52,-79.91
201095747,43.54,-80.28
201547189,43.36,-80.95
201763070,43.55,-80.30
201861051,42.29,-82.82
202509246,43.53,-80.29
202865846,43.75,-79.69
202888707,43.14,-80.74
202960704,43.18,-80.02
203049994,43.76,-79.27
203254292,43.77,-79.55
203748942,44.06,-79.42
203903377,43.83,-79.51
204116255,42.27,-82.96
204297902,44.06,-79.42
205152171,43.53,-80.30
205554145,42.93,-81.16
205593411,42.93,-81.20
205631570,43.77,-79.54
206993862,43.55,-80.30
209012285,42.28,-83.01
222222222,27.60,-99.52
240006077,43.53,-80.30
240773507,43.75,-79.69
240929703,43.82,-79.52
242800241,44.02,-79.80
243250839,43.40,-80.28
243561425,43.55,-80.29
243579245,42.92,-81.20
243615127,42.27,-82.96
243709438,43.35,-81.00
243799157,43.71,-79.62
244795589,44.03,-79.44
246276455,43.50,-79.63
246884225,42.28,-83.07
248023744,43.53,-80.31
248025553,43.41,-80.44
248440059,43.53,-80.31
248859050,43.36,-80.99
249266941,43.53,-80.30
251162343,43.54,-80.28
251922977,43.53,-80.30
252146204,43.69,-79.69
253626592,43.53,-80.30
253699128,43.18,-80.02
253988547,43.82,-79.48
254039282,43.82,-79.49
256874405,43.53,-80.31
259986636,43.73,-79.65
557463135,42.64,-83.16
588101217,19.06,-98.10
588159637,20.97,-101.43
588176826,25.81,-100.19
588176862,20.89,-100.62
588178553,20.90,-101.38
588198015,25.77,-100.56
588199005,20.55,-100.80
588212576,21.01,-101.48
588214945,25.66,-100.15
588352398,20.82,-100.43
588383955,21.01,-101.47
588461223,21.98,-100.88
589502926,20.50,-103.23
589558878,25.88,-97.54
602262990,35.76,-84.00
604014548,42.67,-82.84
607039732,31.81,-106.38
608866109,29.34,-100.93
609623566,27.61,-99.52
616446530,36.18,-86.43
621646327,40.15,-85.40
622495034,41.66,-93.59
623860249,42.54,-83.17
627272024,43.21,-86.19
783350853,36.17,-86.49
784440104,41.92,-79.64
784650512,42.38,-83.49
784804056,31.80,-106.39
785126632,41.28,-81.45
785629952,38.94,-85.90
787118579,26.04,-97.73
789519808,36.90,-84.05
790480847,42.26,-83.44
791307630,42.49,-83.67
793869285,34.21,-83.91
796778889,42.05,-80.10
796920622,42.24,-83.44
799913939,36.15,-84.08
800146693,32.70,-85.31
800221918,42.95,-78.87
800786642,42.82,-82.97
801031522,27.62,-99.46
802726265,43.20,-86.28
802850763,31.81,-106.39
807626619,39.74,-84.61
807813840,26.15,-98.27
808276229,41.09,-83.20
808459650,42.16,-84.71
808532071,36.37,-86.41
809149292,42.48,-82.98
809239080,41.48,-87.58
809831436,42.13,-80.00
810004945,19.64,-99.15
810007658,19.64,-99.15
810010322,19.52,-99.07
810248898,19.29,-99.62
810324400,19.49,-99.15
810534172,25.46,-100.98
810701672,19.55,-99.19
810857300,19.14,-98.22
810953893,19.10,-99.57
810966952,25.72,-100.53
810972554,19.70,-99.23
811315332,19.76,-98.59
811328210,21.84,-102.27
811397363,19.47,-99.22
811406149,19.66,-99.20
811414218,20.40,-99.98
811425800,20.63,-100.42
811490671,25.51,-100.96
811560853,20.82,-100.43
811634658,28.68,-100.52
811666718,20.51,-103.24
811728963,19.65,-99.18
811757269,19.30,-99.62
811820976,19.08,-98.14
811838291,21.13,-101.61
811851062,19.29,-99.62
811977917,25.67,-100.45
812012912,20.54,-100.67
812015766,25.44,-100.91
812040194,25.58,-100.91
812133478,20.57,-100.27
812139244,28.27,-105.48
812207330,20.90,-101.38
812218659,25.77,-100.17
812234458,20.62,-100.44
812235620,25.55,-100.93
812246809,31.64,-106.38
812253276,25.77,-100.16
812279669,31.69,-106.44
812296380,22.12,-100.81
812296430,21.98,-100.86
812297162,25.44,-100.89
812298885,21.08,-101.67
812312411,19.70,-99.21
812317444,20.61,-100.22
812331239,18.74,-98.91
812360261,25.56,-100.93
812366540,28.71,-106.12
812407989,20.81,-100.43
812416683,20.37,-99.96
812431351,25.53,-103.36
812435311,28.71,-106.12
812447597,25.61,-97.81
812452852,25.59,-103.49
812454049,28.75,-106.17
812461952,31.72,-106.44
812465821,25.56,-100.92
812468916,25.76,-100.19
812489474,19.06,-98.10
812505915,25.53,-100.96
812510634,19.11,-98.24
812519932,25.56,-100.92
812536662,32.46,-116.92
812537363,19.11,-98.25
812539617,20.87,-100.28
812548816,21.05,-100.47
812553154,22.11,-100.90
812553399,20.97,-101.43
812554723,20.72,-103.49
812555407,19.26,-98.41
812562981,31.77,-116.58
812563302,20.56,-100.28
812566987,19.06,-98.15
812568066,20.51,-100.93
812583334,18.84,-97.09
812583342,20.55,-100.79
812586170,20.60,-103.40
812600773,19.30,-99.53
812619245,25.58,-100.91
812633758,25.42,-100.95
812634044,20.56,-101.44
812635384,20.83,-100.41
812661283,25.88,-97.54
812667344,22.05,-100.87
812669349,25.56,-100.93
812677706,22.05,-100.87
812689818,20.48,-103.23
812695273,32.61,-115.39
812697915,25.59,-100.91
812735063,20.61,-100.23
812736581,21.01,-101.47
812737590,21.01,-101.48
812744860,20.51,-103.24
812757799,21.97,-100.88
812758380,20.55,-100.79
812759203,19.16,-98.37
812760162,19.33,-99.57
812760740,20.57,-100.36
812762416,25.36,-101.01
812762432,25.59,-103.40
812762729,28.64,-105.97
812762921,25.71,-100.52
812763533,25.44,-100.89
812765504,21.97,-100.86
812769191,27.94,-110.81
812770562,20.41,-99.98
812770754,25.58,-100.91
812770806,22.11,-100.81
812772112,25.59,-100.90
812773563,21.79,-102.29
812773736,31.68,-106.45
812776585,20.54,-100.72
812777350,22.02,-100.90
812777732,25.54,-100.91
812778452,22.22,-100.89
812778453,25.35,-101.02
812780081,28.71,-106.11
812780789,20.52,-100.85
812781034,20.82,-100.44
812781092,25.44,-100.88
812783148,22.03,-102.27
812784652,25.52,-100.92
812785444,25.91,-100.29
812785552,25.40,-100.93
812785971,25.74,-99.98
812786597,25.51,-100.99
812786753,25.54,-100.92
812786860,20.89,-100.62
812796473,20.51,-100.93
812796891,22.12,-100.81
812797824,20.36,-99.95
812798517,20.55,-100.80
812798806,21.01,-101.49
812799233,21.01,-101.50
812799516,24.03,-104.60
812799902,25.43,-100.90
812800008,25.75,-99.98
812800966,28.17,-105.44
812801468,21.05,-100.47
812801722,25.47,-100.89
812775157,21.97,-100.87
812801789,22.01,-100.88
812801912,19.16,-98.37
812802100,22.05,-100.87
812802230,31.60,-106.41
812803861,22.11,-100.79
812804469,20.96,-101.42
812804472,31.67,-106.39
812804473,21.98,-100.88
812804507,21.96,-100.87
812805147,19.31,-99.54
812806403,21.39,-101.88
812806647,21.05,-100.47
812806786,20.63,-100.43
812807729,20.62,-100.16
812809872,25.48,-100.89
812810374,21.98,-100.86
812810531,25.90,-100.23
812810821,22.01,-100.88
812810889,25.73,-99.98
812811385,25.57,-103.45
812811868,22.05,-100.89
812813283,21.40,-101.87
812813705,19.29,-99.54
812814034,31.64,-106.38
812814329,20.85,-101.50
812814525,21.01,-101.49
812814583,31.67,-106.34
812815730,21.10,-101.76
812816935,20.62,-100.43
812817209,20.97,-101.42
812817929,25.89,-100.23
812818411,26.96,-101.40
812818598,20.98,-89.55
812819082,19.29,-99.57
812819552,26.07,-98.36
812819848,20.56,-100.28
812820473,25.56,-100.92
812821032,20.73,-100.78
812821398,20.63,-100.16
812822077,25.47,-103.36
812822456,21.10,-101.75
812822457,21.05,-100.46
812822994,25.64,-103.52
812823415,20.57,-100.19
812824050,26.05,-98.37
812825113,21.97,-102.27
812827191,21.97,-100.85
812828385,20.82,-100.45
812828612,25.64,-103.52
812829680,25.51,-100.98
812831062,20.49,-100.67
812831226,21.08,-101.67
812833514,20.78,-101.32
812833808,19.07,-98.17
812833912,28.72,-106.12
812834889,28.75,-106.17
812834969,29.33,-100.99
812835899,25.58,-100.91
812835949,26.07,-98.36
812837696,22.01,-100.88
812861045,31.69,-106.44
812861466,25.59,-100.90
812865616,27.96,-110.93
812879120,25.74,-100.19
812879376,28.68,-100.55
812885674,25.66,-100.15
812888154,28.65,-105.96
812888257,25.71,-100.52
812888539,21.10,-101.75
812888593,25.68,-100.12
812895696,20.51,-100.94
812895704,21.05,-100.47
812899375,21.86,-102.25
812905909,25.56,-100.92
812906238,28.71,-106.12
812912530,18.74,-98.91
812913149,25.51,-100.99
812917523,20.83,-100.42
812928414,25.58,-100.89
812937563,25.58,-100.90
812938744,20.90,-101.38
812939825,25.51,-100.96
812946093,31.67,-106.45
812955045,20.78,-101.33
812966604,22.06,-100.87
812967438,19.07,-98.27
812986156,21.98,-100.88
812989820,22.04,-102.27
813016052,20.56,-100.27
813016524,25.58,-100.91
813018728,20.55,-100.26
813022894,20.78,-101.34
813026986,21.01,-101.50
813027877,20.53,-100.46
813040672,20.78,-101.33
813086121,20.60,-103.40
813116613,28.67,-106.13
813117710,25.76,-100.14
813126075,21.98,-100.88
813178514,25.51,-100.97
813179439,19.13,-98.25
813185634,20.66,-101.33
813189883,25.88,-97.56
813190840,25.44,-100.88
813193059,22.11,-100.90
813193786,25.58,-100.91
813201621,25.39,-100.93
813203999,24.03,-104.61
814070462,20.78,-101.33
814180139,26.01,-98.21
814330007,25.83,-100.26
814456323,20.70,-101.29
814526588,25.88,-97.54
814583894,19.16,-98.38
814592697,25.69,-100.13
814604781,22.05,-100.87
814624318,25.75,-100.17
814728200,20.83,-100.41
814814042,20.51,-100.92
814832457,20.55,-100.26
815015565,25.56,-100.92
815032453,21.97,-100.87
815047527,21.01,-101.48
815053640,25.45,-100.89
815079223,20.99,-101.47
815104047,20.78,-101.33
815141981,20.61,-100.23
815335260,20.56,-100.25
815336284,18.85,-98.93
815372982,25.77,-100.13
815374475,25.56,-100.93
815734256,28.17,-105.44
815742135,20.51,-100.84
815936414,21.79,-102.29
816143630,20.78,-101.34
816144281,20.72,-103.49
816148498,20.97,-101.43
816149298,20.97,-101.42
816154785,21.97,-100.88
816157622,20.56,-100.28
816163380,25.58,-100.91
816165849,20.82,-100.43
816473789,25.58,-103.38
816474175,21.05,-100.47
816508899,25.47,-100.89
816518617,25.76,-100.16
816523799,21.01,-101.49
816529168,20.95,-101.39
816627251,18.84,-97.09
816629877,20.56,-101.45
816638795,20.55,-100.26
816657977,25.44,-100.89
816659163,19.29,-99.53
816660435,22.07,-100.88
820046613,22.11,-100.91
820113603,25.70,-100.17
821532314,28.65,-106.02
823686472,25.77,-100.55
823772843,20.51,-100.88
823980685,25.72,-100.51
825902385,39.01,-84.64
828836937,41.20,-112.00
254631,21.01,-101.50
829002687,43.59,-84.19
829100023,36.97,-85.92
829290324,42.23,-83.30
830049271,36.15,-84.07
830107152,35.74,-86.95
830733858,42.54,-83.16
831622258,42.84,-86.11
831831438,25.93,-97.44
